stop_id,hour,day_type,demand
S1,6,weekday,32.2
S1,6,weekend,8.9
S1,7,weekday,76.4
S1,7,weekend,39.6
S1,8,weekday,83.8
S1,8,weekend,46.8
S1,9,weekday,86.3
S1,9,weekend,37.4
S1,10,weekday,78.8
S1,10,weekend,36.5
S1,11,weekday,45.5
S1,11,weekend,27.6
S1,12,weekday,42.4
S1,12,weekend,22.7
S1,13,weekday,52.4
S1,13,weekend,28.2
S1,14,weekday,45.5
S1,14,weekend,28.9
S1,15,weekday,55.0
S1,15,weekend,19.6
S1,16,weekday,54.9
S1,16,weekend,30.7
S1,17,weekday,82.4
S1,17,weekend,41.2
S1,18,weekday,92.3
S1,18,weekend,44.1
S1,19,weekday,78.5
S1,19,weekend,40.3
S1,20,weekday,90.6
S1,20,weekend,48.4
S1,21,weekday,34.9
S1,21,weekend,20.2
S1,22,weekday,30.6
S1,22,weekend,24.1
S2,6,weekday,26.1
S2,6,weekend,16.2
S2,7,weekday,83.3
S2,7,weekend,44.8
S2,8,weekday,83.8
S2,8,weekend,44.1
S2,9,weekday,81.3
S2,9,weekend,35.6
S2,10,weekday,73.6
S2,10,weekend,39.5
S2,11,weekday,41.3
S2,11,weekend,22.1
S2,12,weekday,41.6
S2,12,weekend,22.8
S2,13,weekday,50.2
S2,13,weekend,24.2
S2,14,weekday,45.9
S2,14,weekend,21.8
S2,15,weekday,44.3
S2,15,weekend,33.4
S2,16,weekday,50.4
S2,16,weekend,28.1
S2,17,weekday,77.7
S2,17,weekend,49.3
S2,18,weekday,77.6
S2,18,weekend,43.7
S2,19,weekday,90.8
S2,19,weekend,47.9
S2,20,weekday,83.9
S2,20,weekend,48.6
S2,21,weekday,33.5
S2,21,weekend,19.8
S2,22,weekday,23.7
S2,22,weekend,7.9
S3,6,weekday,17.0
S3,6,weekend,7.3
S3,7,weekday,65.4
S3,7,weekend,45.6
S3,8,weekday,76.0
S3,8,weekend,35.5
S3,9,weekday,72.5
S3,9,weekend,36.8
S3,10,weekday,76.6
S3,10,weekend,37.8
S3,11,weekday,36.2
S3,11,weekend,17.9
S3,12,weekday,41.0
S3,12,weekend,18.2
S3,13,weekday,41.4
S3,13,weekend,28.4
S3,14,weekday,38.4
S3,14,weekend,17.5
S3,15,weekday,48.0
S3,15,weekend,22.2
S3,16,weekday,33.5
S3,16,weekend,14.8
S3,17,weekday,68.8
S3,17,weekend,43.3
S3,18,weekday,79.7
S3,18,weekend,40.0
S3,19,weekday,68.0
S3,19,weekend,39.4
S3,20,weekday,82.9
S3,20,weekend,41.7
S3,21,weekday,27.5
S3,21,weekend,16.8
S3,22,weekday,12.2
S3,22,weekend,14.5
S4,6,weekday,22.9
S4,6,weekend,11.6
S4,7,weekday,66.3
S4,7,weekend,40.8
S4,8,weekday,63.8
S4,8,weekend,37.5
S4,9,weekday,69.3
S4,9,weekend,45.8
S4,10,weekday,76.0
S4,10,weekend,34.7
S4,11,weekday,40.0
S4,11,weekend,16.9
S4,12,weekday,46.6
S4,12,weekend,27.9
S4,13,weekday,36.8
S4,13,weekend,24.2
S4,14,weekday,41.7
S4,14,weekend,16.4
S4,15,weekday,44.2
S4,15,weekend,22.6
S4,16,weekday,44.5
S4,16,weekend,22.5
S4,17,weekday,67.0
S4,17,weekend,38.4
S4,18,weekday,67.3
S4,18,weekend,48.1
S4,19,weekday,81.1
S4,19,weekend,46.6
S4,20,weekday,71.9
S4,20,weekend,34.2
S4,21,weekday,26.0
S4,21,weekend,18.2
S4,22,weekday,13.4
S4,22,weekend,10.8
S5,6,weekday,13.1
S5,6,weekend,15.2
S5,7,weekday,74.3
S5,7,weekend,32.6
S5,8,weekday,69.6
S5,8,weekend,39.3
S5,9,weekday,66.2
S5,9,weekend,44.5
S5,10,weekday,68.8
S5,10,weekend,33.9
S5,11,weekday,40.6
S5,11,weekend,25.7
S5,12,weekday,35.2
S5,12,weekend,19.0
S5,13,weekday,47.9
S5,13,weekend,24.4
S5,14,weekday,39.0
S5,14,weekend,22.3
S5,15,weekday,33.9
S5,15,weekend,17.6
S5,16,weekday,37.4
S5,16,weekend,23.4
S5,17,weekday,70.7
S5,17,weekend,36.8
S5,18,weekday,68.1
S5,18,weekend,43.3
S5,19,weekday,70.7
S5,19,weekend,47.7
S5,20,weekday,80.8
S5,20,weekend,34.4
S5,21,weekday,15.8
S5,21,weekend,13.7
S5,22,weekday,15.4
S5,22,weekend,5.1
S6,6,weekday,27.0
S6,6,weekend,12.1
S6,7,weekday,84.6
S6,7,weekend,51.3
S6,8,weekday,89.9
S6,8,weekend,41.8
S6,9,weekday,78.6
S6,9,weekend,45.6
S6,10,weekday,68.8
S6,10,weekend,38.0
S6,11,weekday,43.7
S6,11,weekend,24.8
S6,12,weekday,47.7
S6,12,weekend,15.6
S6,13,weekday,38.4
S6,13,weekend,19.4
S6,14,weekday,45.8
S6,14,weekend,18.0
S6,15,weekday,35.0
S6,15,weekend,21.2
S6,16,weekday,38.8
S6,16,weekend,18.5
S6,17,weekday,86.0
S6,17,weekend,56.3
S6,18,weekday,89.1
S6,18,weekend,55.3
S6,19,weekday,90.8
S6,19,weekend,42.3
S6,20,weekday,83.0
S6,20,weekend,46.6
S6,21,weekday,27.5
S6,21,weekend,17.8
S6,22,weekday,25.6
S6,22,weekend,5.7
